Bloco,Tratamento,DAS,Inoculacao,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Clof A,Clof B,Clorof Total,NDVI
B,0,42,sem,0.315073882,0.419422616,0.265503502,0.142068388,100.6767154,0.366978575,0.33439692,0.658856587,36.93333333,6.533333333,43.46666667,0.72569
B,0,42,sem,0.278588078,0.428718729,0.292693193,0.212256759,125.6371357,0.350184492,0.499657927,0.748036614,36.96666667,6.666666667,43.63333333,0.73139
B,0,42,com,0.317821181,0.41036824,0.271810578,0.127092012,100.0759038,0.337642264,0.286215874,0.681357864,28.34666667,6.583333333,35.42666667,0.65419
B,0,42,com,0.318966897,0.410021073,0.271012029,0.124904909,99.30140365,0.339029023,0.18787121,0.709374387,38.89333333,10.63666667,49.60333333,0.61903
B,0,42,com,0.31048054,0.423606612,0.265912847,0.154104416,103.042693,0.372264644,0.260308684,0.694934963,27.98666667,6.62,35.14333333,0.54619
B,0,42,com,0.318226823,0.405933873,0.275839304,0.121115452,100.4507507,0.320482172,0.216207081,0.712496642,33.91,8.446666667,42.6,0.51686
B,0,42,com,0.314325078,0.402301188,0.283373734,0.122764282,104.3847607,0.295617952,0.204678628,0.746483144,29.06333333,7.133333333,36.69666667,0.44462
C,0,42,sem,0.305502671,0.38760273,0.306894599,0.118452488,121.0172429,0.211814966,0.065032376,0.913368902,35,6.466666667,41.46666667,0.47856
C,0,42,sem,0.324004043,0.39361627,0.282379686,0.09700426,97.54820116,0.28260159,0.126271238,0.738976842,35.2,6.266666667,41.46666667,0.50051
C,0,42,sem,0.320958065,0.422021331,0.257020605,0.136024318,96.75011684,0.390977218,0.29362536,0.642633123,37.6,6.3,43.9,0.57537
C,0,42,sem,0.316750261,0.430886491,0.252363248,0.152662679,98.36012411,0.414316176,0.349184509,0.625278239,34.83333333,5.733333333,40.56666667,0.63225
C,0,42,sem,0.314292789,0.418117559,0.267589652,0.141757649,101.3842608,0.360013359,0.259284547,0.690146591,37.96666667,6.5,44.46666667,0.69949
C,0,42,com,0.315703988,0.416429379,0.267866634,0.137577927,100.6799394,0.356753756,0.272477742,0.682922497,26.77333333,6.73,34.16,0.56268
C,0,42,com,0.315245649,0.420679746,0.264074605,0.143267372,100.3948798,0.372266889,0.253948284,0.682344274,30.05,7.096666667,37.55666667,0.53584
C,0,42,com,0.303432866,0.435299471,0.261267664,0.178503902,105.4629325,0.399797883,0.293751108,0.688055516,29.64666667,7.093333333,37.19,0.48025
